primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
Captain Blood,Captain Blood,0,1935,\N,119,Action Adventure History
The Informer,The Informer,0,1935,\N,91,Crime Drama
Mutiny on the Bounty,Mutiny on the Bounty,0,1935,\N,132,Adventure Biography Drama
A Night at the Opera,A Night at the Opera,0,1935,\N,96,Comedy Music Musical
Top Hat,Top Hat,0,1935,\N,101,Comedy Musical Romance
After the Thin Man,After the Thin Man,0,1936,\N,112,Comedy Crime Mystery
Dodsworth,Dodsworth,0,1936,\N,101,Drama Romance
Fury,Fury,0,1936,\N,92,Crime Drama Film-Noir
Libeled Lady,Libeled Lady,0,1936,\N,98,Comedy Romance
Modern Times,Modern Times,0,1936,\N,87,Comedy Drama Romance
Mr. Deeds Goes to Town,Mr. Deeds Goes to Town,0,1936,\N,115,Comedy Drama Romance
My Man Godfrey,My Man Godfrey,0,1936,\N,94,Comedy Drama Romance
The Petrified Forest,The Petrified Forest,0,1936,\N,82,Drama Thriller
Swing Time,Swing Time,0,1936,\N,103,Comedy Musical Romance
The Awful Truth,The Awful Truth,0,1937,\N,90,Comedy Romance
Camille,Camille,0,1936,\N,109,Drama Romance
Captains Courageous,Captains Courageous,0,1937,\N,117,Adventure Drama Family
A Day at the Races,A Day at the Races,0,1937,\N,111,Comedy Family Musical
Dead End,Dead End,0,1937,\N,93,Crime Drama Film-Noir
The Grand Illusion,La grande illusion,0,1937,\N,113,Drama War
The Life of Emile Zola,The Life of Emile Zola,0,1937,\N,116,Biography Drama
Lost Horizon,Lost Horizon,0,1937,\N,132,Adventure Drama Fantasy
Make Way for Tomorrow,Make Way for Tomorrow,0,1937,\N,91,Drama Romance
My Favorite Wife,My Favorite Wife,0,1940,\N,88,Comedy Romance
Pépé le Moko,Pépé le Moko,0,1937,\N,94,Crime Drama Romance
Shall We Dance,Shall We Dance,0,1937,\N,109,Comedy Musical Romance
Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,0,1937,\N,83,Adventure Animation Family
Stage Door,Stage Door,0,1937,\N,92,Comedy Drama Romance
A Star Is Born,A Star Is Born,0,1937,\N,111,Drama Romance
Topper,Topper,0,1937,\N,97,Comedy Fantasy Romance
Way Out West,Way Out West,0,1937,\N,66,Comedy Family Western
You Only Live Once,You Only Live Once,0,1937,\N,86,Crime Drama Film-Noir
The Adventures of Robin Hood,The Adventures of Robin Hood,0,1938,\N,102,Action Adventure Romance
Alexander Nevsky,Aleksandr Nevskiy,0,1938,\N,112,Action Biography Drama
Angels with Dirty Faces,Angels with Dirty Faces,0,1938,\N,97,Crime Drama Film-Noir
Bringing Up Baby,Bringing Up Baby,0,1938,\N,102,Comedy
The Human Beast,La bête humaine,0,1938,\N,100,Crime Drama
A Christmas Carol,A Christmas Carol,0,1938,\N,69,Drama Family Fantasy
Holiday,Holiday,0,1938,\N,95,Comedy Romance
Jezebel,Jezebel,0,1938,\N,104,Drama Romance
The Lady Vanishes,The Lady Vanishes,0,1938,\N,96,Crime Drama Mystery
Pygmalion,Pygmalion,0,1938,\N,89,Comedy Drama Romance
Port of Shadows,Le quai des brumes,0,1938,\N,91,Crime Drama Romance
You Can't Take It with You,You Can't Take It with You,0,1938,\N,126,Comedy Drama Romance
The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,0,1939,\N,85,Crime Mystery Thriller
Another Thin Man,Another Thin Man,0,1939,\N,103,Comedy Crime Mystery
Dark Victory,Dark Victory,0,1939,\N,104,Drama Romance
Destry Rides Again,Destry Rides Again,0,1939,\N,95,Comedy Western
Gone with the Wind,Gone with the Wind,0,1939,\N,238,Drama Romance War
"Goodbye, Mr. Chips","Goodbye, Mr. Chips",0,1939,\N,114,Drama Romance
Gunga Din,Gunga Din,0,1939,\N,117,Adventure Comedy War
The Hound of the Baskervilles,The Hound of the Baskervilles,0,1939,\N,80,Crime Mystery Thriller
The Hunchback of Notre Dame,The Hunchback of Notre Dame,0,1939,\N,116,Drama Romance
Daybreak,Le jour se lève,0,1939,\N,93,Crime Drama Romance
Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,0,1939,\N,129,Comedy Drama
Ninotchka,Ninotchka,0,1939,\N,110,Comedy Romance
Only Angels Have Wings,Only Angels Have Wings,0,1939,\N,121,Adventure Drama Romance
The Roaring Twenties,The Roaring Twenties,0,1939,\N,106,Crime Drama Thriller
The Rules of the Game,La règle du jeu,0,1939,\N,110,Comedy Drama
Son of Frankenstein,Son of Frankenstein,0,1939,\N,99,Drama Horror Sci-Fi
Stagecoach,Stagecoach,0,1939,\N,96,Adventure Drama Western
The Wizard of Oz,The Wizard of Oz,0,1939,\N,102,Adventure Family Fantasy
The Women,The Women,0,1939,\N,133,Comedy Drama
Wuthering Heights,Wuthering Heights,0,1939,\N,104,Drama Romance
Young Mr. Lincoln,Young Mr. Lincoln,0,1939,\N,100,Biography Drama
The Bank Dick,The Bank Dick,0,1940,\N,72,Comedy
Fantasia,Fantasia,0,1940,\N,124,Animation Family Fantasy
Foreign Correspondent,Foreign Correspondent,0,1940,\N,120,Action Drama Romance
The Grapes of Wrath,The Grapes of Wrath,0,1940,\N,129,Drama
The Great Dictator,The Great Dictator,0,1940,\N,125,Comedy Drama War
His Girl Friday,His Girl Friday,0,1940,\N,92,Comedy Drama Romance
The Letter,The Letter,0,1940,\N,95,Crime Drama Film-Noir
The Mark of Zorro,The Mark of Zorro,0,1940,\N,94,Action Adventure Family
The Philadelphia Story,The Philadelphia Story,0,1940,\N,112,Comedy Romance
Pinocchio,Pinocchio,0,1940,\N,88,Adventure Animation Comedy
Pride and Prejudice,Pride and Prejudice,0,1940,\N,118,Comedy Drama Romance
Rebecca,Rebecca,0,1940,\N,130,Drama Mystery Romance
Remember the Night,Remember the Night,0,1939,\N,94,Comedy Drama Romance
The Sea Hawk,The Sea Hawk,0,1940,\N,127,Action Adventure History
The Shop Around the Corner,The Shop Around the Corner,0,1940,\N,99,Comedy Drama Romance
They Drive by Night,They Drive by Night,0,1940,\N,95,Crime Drama Film-Noir
The Thief of Bagdad,The Thief of Bagdad,0,1940,\N,106,Adventure Family Fantasy
Waterloo Bridge,Waterloo Bridge,0,1940,\N,108,Drama Romance War
Ball of Fire,Ball of Fire,0,1941,\N,111,Comedy Romance
Citizen Kane,Citizen Kane,0,1941,\N,119,Drama Mystery
Dumbo,Dumbo,0,1941,\N,64,Adventure Animation Drama
49th Parallel,49th Parallel,0,1941,\N,123,Drama Thriller War
Here Comes Mr. Jordan,Here Comes Mr. Jordan,0,1941,\N,94,Comedy Fantasy Romance
High Sierra,High Sierra,0,1941,\N,100,Action Adventure Drama
How Green Was My Valley,How Green Was My Valley,0,1941,\N,118,Drama Family
The Lady Eve,The Lady Eve,0,1941,\N,94,Comedy Romance
The Little Foxes,The Little Foxes,0,1941,\N,116,Drama Romance
The Maltese Falcon,The Maltese Falcon,0,1941,\N,100,Crime Drama Film-Noir
The Man Who Came to Dinner,The Man Who Came to Dinner,0,1941,\N,112,Comedy Romance
Meet John Doe,Meet John Doe,0,1941,\N,122,Comedy Drama Romance
Penny Serenade,Penny Serenade,0,1941,\N,119,Drama Romance
Sergeant York,Sergeant York,0,1941,\N,134,Biography Drama History
Sullivan's Travels,Sullivan's Travels,0,1941,\N,90,Adventure Comedy Drama
Suspicion,Suspicion,0,1941,\N,99,Drama Film-Noir Mystery
The Wolf Man,The Wolf Man,0,1941,\N,70,Horror Mystery Romance
Bambi,Bambi,0,1942,\N,69,Adventure Animation Drama
Casablanca,Casablanca,0,1942,\N,102,Drama Romance War
Cat People,Cat People,0,1942,\N,73,Fantasy Horror Thriller
Holiday Inn,Holiday Inn,0,1942,\N,100,Comedy Drama Music
I Married a Witch,I Married a Witch,0,1942,\N,77,Comedy Fantasy Romance
The Magnificent Ambersons,The Magnificent Ambersons,0,1942,\N,88,Drama Romance
The Major and the Minor,The Major and the Minor,0,1942,\N,100,Comedy Romance
Mrs. Miniver,Mrs. Miniver,0,1942,\N,134,Drama Romance War
"Now, Voyager","Now, Voyager",0,1942,\N,117,Drama Romance
Obsession,Ossessione,0,1943,\N,140,Crime Drama Romance
The Palm Beach Story,The Palm Beach Story,0,1942,\N,88,Comedy Romance
The Pride of the Yankees,The Pride of the Yankees,0,1942,\N,128,Biography Drama Romance
Random Harvest,Random Harvest,0,1942,\N,126,Drama Romance
Saboteur,Saboteur,0,1942,\N,109,Drama Thriller War
The Talk of the Town,The Talk of the Town,0,1942,\N,118,Comedy Drama Romance
This Gun for Hire,This Gun for Hire,0,1942,\N,81,Crime Drama Film-Noir
To Be or Not to Be,To Be or Not to Be,0,1942,\N,99,Comedy Romance War
Woman of the Year,Woman of the Year,0,1942,\N,114,Comedy Drama Romance
Yankee Doodle Dandy,Yankee Doodle Dandy,0,1942,\N,126,Biography Drama Family
Le Corbeau,Le corbeau,0,1943,\N,92,Crime Drama Horror
Heaven Can Wait,Heaven Can Wait,0,1943,\N,112,Comedy Drama Fantasy
The Life and Death of Colonel Blimp,The Life and Death of Colonel Blimp,0,1943,\N,163,Drama Romance War
The More the Merrier,The More the Merrier,0,1943,\N,104,Comedy
The Ox-Bow Incident,The Ox-Bow Incident,0,1942,\N,75,Drama Western
Sahara,Sahara,0,1943,\N,97,Action Drama War
Shadow of a Doubt,Shadow of a Doubt,0,1943,\N,108,Drama Film-Noir Mystery
The Song of Bernadette,The Song of Bernadette,0,1943,\N,156,Biography Drama Mystery
Day of Wrath,Vredens dag,0,1943,\N,110,Drama History
Arsenic and Old Lace,Arsenic and Old Lace,0,1944,\N,118,Comedy Crime Thriller
Double Indemnity,Double Indemnity,0,1944,\N,107,Crime Drama Film-Noir
Gaslight,Gaslight,0,1944,\N,114,Crime Drama Mystery
The Best Years of Our Lives,The Best Years of Our Lives,0,1946,\N,170,Drama Romance War
Jane Eyre,Jane Eyre,0,1943,\N,97,Drama Romance
Laura,Laura,0,1944,\N,88,Drama Film-Noir Mystery
Lifeboat,Lifeboat,0,1944,\N,97,Drama War
Meet Me in St. Louis,Meet Me in St. Louis,0,1944,\N,113,Comedy Drama Family
Ministry of Fear,Ministry of Fear,0,1944,\N,86,Crime Drama Film-Noir
The Miracle of Morgan's Creek,The Miracle of Morgan's Creek,0,1943,\N,98,Comedy Romance War
"Murder, My Sweet","Murder, My Sweet",0,1944,\N,95,Crime Drama Film-Noir
National Velvet,National Velvet,0,1944,\N,123,Drama Family Sport
To Have and Have Not,To Have and Have Not,0,1944,\N,100,Adventure Comedy Drama
The Uninvited,The Uninvited,0,1944,\N,99,Fantasy Horror Mystery
The Woman in the Window,The Woman in the Window,0,1944,\N,107,Crime Drama Film-Noir
And Then There Were None,And Then There Were None,0,1945,\N,97,Crime Drama Mystery
The Bells of St. Mary's,The Bells of St. Mary's,0,1945,\N,126,Drama
The Body Snatcher,The Body Snatcher,0,1945,\N,78,Horror Thriller
Brief Encounter,Brief Encounter,0,1945,\N,86,Drama Romance
Christmas in Connecticut,Christmas in Connecticut,0,1945,\N,101,Comedy Romance
Dead of Night,Dead of Night,0,1945,\N,77,Drama Horror
Detour,Detour,0,1945,\N,66,Crime Drama Film-Noir
Children of Paradise,Les enfants du paradis,0,1945,\N,189,Drama Romance
I Know Where I'm Going!,I Know Where I'm Going!,0,1945,\N,92,Drama Romance
"Ivan the Terrible, Part I",Ivan Groznyy,0,1944,\N,95,Biography Drama History
Leave Her to Heaven,Leave Her to Heaven,0,1945,\N,110,Drama Film-Noir Romance
The Lost Weekend,The Lost Weekend,0,1945,\N,101,Drama Film-Noir
Mildred Pierce,Mildred Pierce,0,1945,\N,111,Crime Drama Film-Noir
The Picture of Dorian Gray,The Picture of Dorian Gray,0,1945,\N,110,Drama Fantasy Horror
Scarlet Street,Scarlet Street,0,1945,\N,102,Crime Drama Film-Noir
Spellbound,Spellbound,0,1945,\N,111,Drama Film-Noir Mystery
They Were Expendable,They Were Expendable,0,1945,\N,135,Drama War
A Tree Grows in Brooklyn,A Tree Grows in Brooklyn,0,1945,\N,129,Drama Family Romance
Beauty and the Beast,La Belle et la Bête,0,1946,\N,93,Drama Fantasy Romance
The Big Sleep,The Big Sleep,0,1946,\N,114,Crime Drama Film-Noir
The Blue Dahlia,The Blue Dahlia,0,1946,\N,96,Crime Drama Film-Noir
Gilda,Gilda,0,1946,\N,110,Drama Film-Noir Romance
Great Expectations,Great Expectations,0,1946,\N,118,Adventure Drama Mystery
It's a Wonderful Life,It's a Wonderful Life,0,1946,\N,130,Drama Family Fantasy
The Killers,The Killers,0,1946,\N,103,Crime Drama Film-Noir
A Matter of Life and Death,A Matter of Life and Death,0,1946,\N,104,Drama Fantasy Romance
My Darling Clementine,My Darling Clementine,0,1946,\N,97,Drama Romance Western
Notorious,Notorious,0,1946,\N,102,Drama Film-Noir Mystery
Paisan,Paisà,0,1946,\N,120,Drama War
The Postman Always Rings Twice,The Postman Always Rings Twice,0,1946,\N,113,Crime Drama Film-Noir
"Rome, Open City",Roma città aperta,0,1945,\N,103,Drama Thriller War
Shoeshine,Sciuscià,0,1946,\N,91,Drama
The Spiral Staircase,The Spiral Staircase,0,1946,\N,83,Drama Horror Mystery
The Strange Love of Martha Ivers,The Strange Love of Martha Ivers,0,1946,\N,116,Drama Film-Noir Romance
The Stranger,The Stranger,0,1946,\N,95,Crime Drama Film-Noir
The Bachelor and the Bobby-Soxer,The Bachelor and the Bobby-Soxer,0,1947,\N,95,Comedy Romance
The Bishop's Wife,The Bishop's Wife,0,1947,\N,109,Comedy Drama Fantasy
Black Narcissus,Black Narcissus,0,1947,\N,101,Drama
Brute Force,Brute Force,0,1947,\N,98,Crime Drama Film-Noir
Crossfire,Crossfire,0,1947,\N,86,Crime Drama Film-Noir
Dark Passage,Dark Passage,0,1947,\N,106,Drama Film-Noir Thriller
Gentleman's Agreement,Gentleman's Agreement,0,1947,\N,118,Drama Romance
Germany Year Zero,Germania anno zero,0,1948,\N,78,Drama
The Ghost and Mrs. Muir,The Ghost and Mrs. Muir,0,1947,\N,104,Comedy Drama Fantasy
Kiss of Death,Kiss of Death,0,1947,\N,99,Crime Drama Film-Noir
Miracle on 34th Street,Miracle on 34th Street,0,1947,\N,96,Comedy Drama Family
Monsieur Verdoux,Monsieur Verdoux,0,1947,\N,124,Comedy Crime Drama
Nightmare Alley,Nightmare Alley,0,1947,\N,110,Drama Film-Noir
Odd Man Out,Odd Man Out,0,1947,\N,116,Crime Drama Film-Noir
Out of the Past,Out of the Past,0,1947,\N,97,Crime Drama Film-Noir
Abbott and Costello Meet Frankenstein,Bud Abbott and Lou Costello Meet Frankenstein,0,1948,\N,83,Comedy Family Fantasy
The Big Clock,The Big Clock,0,1948,\N,95,Crime Drama Film-Noir
Call Northside 777,Call Northside 777,0,1948,\N,112,Drama Film-Noir
