tconst,genres
tt0020629,War
tt0020640,Comedy
tt0020640,Family
tt0020640,Musical
tt0020686,Crime
tt0020686,Drama
tt0020686,Thriller
tt0020691,Adventure
tt0020691,Drama
tt0020691,Romance
tt0020697,Drama
tt0020697,Music
tt0020697,Romance
tt0020768,Drama
tt0020768,Romance
tt0020793,Crime
tt0020793,Drama
tt0020815,Action
tt0020815,Drama
tt0020815,War
tt0020960,Drama
tt0020960,War
tt0021079,Action
tt0021079,Crime
tt0021079,Drama
tt0021309,Adventure
tt0021309,Animation
tt0021309,Comedy
tt0021331,Fantasy
tt0021542,Drama
tt0021542,Romance
tt0021542,War
tt0021571,Drama
tt0021577,Comedy
tt0021577,Drama
tt0021673,Comedy
tt0021673,Crime
tt0021673,Drama
tt0021730,Drama
tt0021730,Family
tt0021730,Sport
tt0021739,Crime
tt0021739,Drama
tt0021739,Romance
tt0021749,Comedy
tt0021749,Drama
tt0021749,Romance
tt0021800,Drama
tt0021800,Romance
tt0021800,War
tt0021814,Drama
tt0021814,Fantasy
tt0021814,Horror
tt0021818,Comedy
tt0021818,Crime
tt0021818,Drama
tt0021873,Crime
tt0021873,Drama
tt0021884,Drama
tt0021884,Horror
tt0021884,Sci-Fi
tt0021985,Comedy
tt0022017,Drama
tt0022074,Comedy
tt0022074,Musical
tt0022074,Romance
tt0022100,Crime
tt0022100,Mystery
tt0022100,Thriller
tt0022125,Comedy
tt0022125,Drama
tt0022125,Romance
tt0022150,Comedy
tt0022150,Musical
tt0022153,Drama
tt0022153,Romance
tt0022158,Comedy
tt0022158,Family
tt0022158,Musical
tt0022183,Drama
tt0022183,Romance
tt0022286,Crime
tt0022286,Drama
tt0022436,Drama
tt0022436,Romance
tt0022458,Adventure
tt0022458,Drama
tt0022458,Romance
tt0022485,Comedy
tt0022485,Drama
tt0022550,Drama
tt0022550,Romance
tt0022550,War
tt0022599,Comedy
tt0022599,Musical
tt0022626,Drama
tt0022626,Mystery
tt0022698,Drama
tt0022718,Comedy
tt0022725,Drama
tt0022787,Drama
tt0022787,War
tt0022835,Horror
tt0022835,Sci-Fi
