tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes
tt0019071,The Last Command,The Last Command,0,1928,88
tt0019074,"Laugh, Clown, Laugh","Laugh, Clown, Laugh",0,1928,73
tt0019109,Lonesome,Lonesome,0,1928,69
tt0019130,The Man Who Laughs,The Man Who Laughs,0,1928,110
tt0019195,The Mysterious Lady,The Mysterious Lady,0,1928,96
tt0019254,The Passion of Joan of Arc,La passion de Jeanne d'Arc,0,1928,114
tt0019258,The Patsy,The Patsy,0,1928,78
tt0019344,Sadie Thompson,Sadie Thompson,0,1928,97
tt0019379,Show People,Show People,0,1928,83
tt0019412,Speedy,Speedy,0,1928,85
tt0019415,Spies,Spione,0,1928,90
tt0019421,"Steamboat Bill, Jr.","Steamboat Bill, Jr.",0,1928,70
tt0019429,Street Angel,Street Angel,0,1928,102
tt0019558,The Wedding March,The Wedding March,0,1928,113
tt0019563,West of Zanzibar,West of Zanzibar,0,1928,65
tt0019585,The Wind,The Wind,0,1928,95
tt0019591,A Woman of Affairs,A Woman of Affairs,0,1928,98
tt0019611,Zvenigora,Zvenigora,0,1928,109
tt0019644,Applause,Applause,0,1929,80
tt0019646,L'Argent,L'argent,0,1928,195
tt0019649,Arsenal,Arsenal,0,1929,70
tt0019655,Asphalt,Asphalt,0,1929,94
tt0019760,Man with a Movie Camera,Chelovek s kino-apparatom,0,1929,68
tt0019901,Woman in the Moon,Frau im Mond,0,1929,95
tt0019976,Hell's Heroes,Hell's Heroes,0,1929,68
tt0020122,Lucky Star,Lucky Star,0,1929,100
tt0020163,People on Sunday,Menschen am Sonntag,0,1930,73
tt0020269,Piccadilly,Piccadilly,0,1929,92
tt0020298,Queen Kelly,Queen Kelly,0,1929,101
tt0020451,The General Line,Staroye i novoye,0,1929,121
tt0020475,Diary of a Lost Girl,Tagebuch einer Verlorenen,0,1929,79
tt0020570,The White Hell of Pitz Palu,Die weiße Hölle vom Piz Palü,0,1929,75
tt0020629,All Quiet on the Western Front,All Quiet on the Western Front,0,1930,152
tt0020640,Animal Crackers,Animal Crackers,0,1930,97
tt0020686,The Big House,The Big House,0,1930,87
tt0020691,The Big Trail,The Big Trail,0,1930,125
tt0020697,The Blue Angel,Der blaue Engel,0,1930,104
tt0020768,City Girl,City Girl,0,1930,90
tt0020793,Escape from Dartmoor,A Cottage on Dartmoor,0,1930,88
tt0020815,The Dawn Patrol,The Dawn Patrol,0,1930,108
tt0020960,Hell's Angels,Hell's Angels,0,1930,127
tt0021079,Little Caesar,Little Caesar,0,1931,79
tt0021309,The Story of the Fox,Le roman de Renard,0,1937,63
tt0021331,The Blood of a Poet,Le sang d'un poète,0,1932,55
tt0021542,Westfront 1918,Westfront 1918: Vier von der Infanterie,0,1930,75
tt0021571,Earth,Zemlya,0,1930,75
tt0021577,L'Age d'Or,L'Âge d'or,0,1930,63
tt0021673,Blonde Crazy,Blonde Crazy,0,1931,79
tt0021730,The Champ,The Champ,0,1931,86
tt0021739,The Bitch,La chienne,0,1931,95
tt0021749,City Lights,City Lights,0,1931,87
tt0021800,Dishonored,Dishonored,0,1931,91
tt0021814,Dracula,Dracula,0,1931,75
tt0021818,The Threepenny Opera,Die 3 Groschen-Oper,0,1931,104
tt0021873,Five Star Final,Five Star Final,0,1931,89
tt0021884,Frankenstein,Frankenstein,0,1931,70
tt0021985,"Hyppolit, the Butler",Hyppolit a lakáj,0,1931,72
tt0022017,Comradeship,Kameradschaft,0,1931,93
tt0022074,The Smiling Lieutenant,The Smiling Lieutenant,0,1931,93
tt0022100,M,M - Eine Stadt sucht einen Mörder,0,1931,99
tt0022125,Marius,Marius,0,1931,130
tt0022150,Le Million,Le million,0,1931,91
tt0022153,The Miracle Woman,The Miracle Woman,0,1931,90
tt0022158,Monkey Business,Monkey Business,0,1931,77
tt0022183,Mädchen in Uniform,Mädchen in Uniform,0,1931,87
tt0022286,The Public Enemy,The Public Enemy,0,1931,83
tt0022436,Street Scene,Street Scene,0,1931,80
tt0022458,Tabu: A Story of the South Seas,Tabu: A Story of the South Seas,0,1931,86
tt0022485,Tokyo Chorus,Tôkyô no kôrasu,0,1931,90
tt0022550,Waterloo Bridge,Waterloo Bridge,0,1931,81
tt0022599,À Nous la Liberté,À nous la liberté,0,1931,83
tt0022626,American Madness,American Madness,0,1932,75
tt0022698,Blonde Venus,Blonde Venus,0,1932,93
tt0022718,Boudu Saved from Drowning,Boudu sauvé des eaux,0,1932,85
tt0022725,Broken Lullaby,Broken Lullaby,0,1932,76
tt0022787,Wooden Crosses,Les croix de bois,0,1932,115
tt0022835,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,0,1931,98
tt0022877,Fanny,Fanny,0,1932,125
tt0022913,Freaks,Freaks,0,1932,64
tt0022958,Grand Hotel,Grand Hotel,0,1932,112
tt0023027,Horse Feathers,Horse Feathers,0,1932,68
tt0023042,I Am a Fugitive from a Chain Gang,I Am a Fugitive from a Chain Gang,0,1932,92
tt0023074,Jewel Robbery,Jewel Robbery,0,1932,68
tt0023158,Love Me Tonight,Love Me Tonight,0,1932,104
tt0023238,The Most Dangerous Game,The Most Dangerous Game,0,1932,63
tt0023241,Movie Crazy,Movie Crazy,0,1932,84
tt0023305,One Way Passage,One Way Passage,0,1932,67
tt0023312,Pack Up Your Troubles,Pack Up Your Troubles,0,1932,68
tt0023382,Red Dust,Red Dust,0,1932,83
tt0023427,Scarface,Scarface,0,1932,93
tt0023458,Shanghai Express,Shanghai Express,0,1932,82
tt0023486,Skyscraper Souls,Skyscraper Souls,0,1932,99
